Grant,Sponsored Program,Sponsored Class,Sp Class, May Expenses,,,
119461,90071251,610000,Salaries & Wages,"$ 4,671.64",,,
119461,90071251,620000,Fringe Benefits,"$ 1,640.74",,,
119461,90071251,630000,Supplies & Materials,"$ 6,150.10",,,
119461,90071251,637000,Repairs & Maintenanc,$ 1.10,,,
119461,90071251,640102,Leased Facilities Ex,$ 73.85,,,
119461,90071251,640300,Contractual Services,"$ 1,339.56",,,
119461,90071251,641400,Telecommunications,$ 106.93,,,
119461,90071251,642500,Other Expenses,$ 163.67,,,
119461,90071251,652000,Travel Domestic,"$ 10,630.26",,,
119461,90071251,652100,Travel Foreign,"$ 2,678.16",,,
119461,90071251,690007,Recharge,"$ 2,745.60",,,
119461,90071251,699999,Facilities & Admin C,"$ 6,326.83",,,
119461,90077410,610000,Salaries & Wages,$ 779.51,,,
119461,90077410,620000,Fringe Benefits,$ 255.45,,,
119461,90077410,630000,Supplies & Materials,$ 137.76,,,
119461,90077410,637000,Repairs & Maintenanc,$ 0.13,,,
119461,90077410,640102,Leased Facilities Ex,$ 69.66,,,
119461,90077410,640300,Contractual Services,$ 404.18,,,
119461,90077410,641400,Telecommunications,$ 100.88,,,
119461,90077410,642500,Other Expenses,$ 17.21,,,
119461,90077410,652000,Travel Domestic,"$ 1,097.20",,,
119461,90077410,652100,Travel Foreign,$ 374.21,,,
119461,90077410,690007,Recharge,$ 323.62,,,
119461,90077410,699999,Facilities & Admin C,$ 732.94,,,
119461,90077411,610000,Salaries & Wages,$ 925.48,,,
119461,90077411,620000,Fringe Benefits,$ 303.28,,,
119461,90077411,630000,Supplies & Materials,$ 183.68,,,
119461,90077411,637000,Repairs & Maintenanc,$ 0.17,,,
119461,90077411,640102,Leased Facilities Ex,$ 92.88,,,
119461,90077411,640300,Contractual Services,$ 743.04,,,
119461,90077411,641400,Telecommunications,$ 134.50,,,
119461,90077411,642500,Other Expenses,$ 23.76,,,
119461,90077411,652000,Travel Domestic,"$ 1,699.79",,,
119461,90077411,652100,Travel Foreign,"$ 1,014.51",,,
119461,90077411,690007,Recharge,$ 512.11,,,
119461,90077411,699999,Facilities & Admin C,"$ 1,163.46",,,
119461,96014221,642400,Subaward,$ 0.50,,,
119461,96014221,690007,Recharge,$ 0.05,,,
119461,96014221,699999,Facilities & Admin C,$ 0.01,,,
119461,96014222,690007,Recharge,"$ (14,483.04)",,,
119461,96014222,699999,Facilities & Admin C,"$ (3,041.44)",,,
119461,96014226,642400,Subaward,"$ 17,048.25",,,
119461,96014226,690007,Recharge,"$ 1,704.83",,,
119461,96014226,699999,Facilities & Admin C,$ 358.01,,,
119461,96015184,642400,Subaward,$ 149.84,,,
119461,96015184,690007,Recharge,$ 14.99,,,
119461,96015184,699999,Facilities & Admin C,$ 3.15,,,
119461,96015186,642400,Subaward,"$ 20,809.07",,,
119461,96015186,690007,Recharge,"$ 2,080.91",,,
119461,96015186,699999,Facilities & Admin C,$ 436.99,,,
119461,96015187,642400,Subaward,"$ (4,215.08)",,,
119461,96015187,690007,Recharge,$ (421.51),,,
119461,96015187,699999,Facilities & Admin C,$ (88.52),,,
119461,96015189,642400,Subaward,"$ 1,678.17",,,
119461,96015189,690007,Recharge,$ 167.82,,,
119461,96015189,699999,Facilities & Admin C,$ 35.24,,,
119461,96015190,642400,Subaward,"$ 16,666.99",,,
119461,96015190,690007,Recharge,"$ 1,666.70",,,
119461,96015190,699999,Facilities & Admin C,$ 350.01,,,
119461,96015191,642400,Subaward,"$ (6,567.20)",,,
119461,96015191,690007,Recharge,$ (656.72),,,
119461,96015191,699999,Facilities & Admin C,$ (137.91),,,
119461,96015192,642400,Subaward,"$ 3,374.01",,,
119461,96015192,690007,Recharge,$ 337.40,,,
119461,96015192,699999,Facilities & Admin C,$ 70.86,,,
119461,96015194,642400,Subaward,"$ 27,878.72",,,
119461,96015194,690007,Recharge,"$ 2,787.87",,,
119461,96015194,699999,Facilities & Admin C,$ 585.45,,,
119461,96015197,642400,Subaward,"$ 2,334.23",,,
119461,96015197,690007,Recharge,$ 233.42,,,
119461,96015197,699999,Facilities & Admin C,$ 49.02,,,
119461,96015435,642400,Subaward,"$ 6,475.59",,,
119461,96015435,690007,Recharge,$ 647.56,,,
119461,96015435,699999,Facilities & Admin C,$ 135.99,,,
119461,96015436,642400,Subaward,"$ 19,398.42",,,
119461,96015436,690007,Recharge,"$ 1,939.84",,,
119461,96015436,699999,Facilities & Admin C,$ 407.37,,,
119461,96015437,642400,Subaward,"$ 2,334.24",,,
119461,96015437,690007,Recharge,$ 233.43,,,
119461,96015437,699999,Facilities & Admin C,$ 49.02,,,
119461,96015530,642400,Subaward,"$ (12,980.35)",,,
119461,96015530,690007,Recharge,"$ (1,298.04)",,,
119461,96015530,699999,Facilities & Admin C,$ (272.59),,,
119461,96015533,642400,Subaward,"$ 15,827.79",,,
119461,96015533,690007,Recharge,"$ 1,582.78",,,
119461,96015533,699999,Facilities & Admin C,$ 332.39,,,
119461,96015640,642400,Subaward,"$ 9,859.60",,,
119461,96015640,690007,Recharge,$ 985.96,,,
119461,96015640,699999,Facilities & Admin C,$ 207.05,,,
119461,96018727,642400,Subaward,"$ 6,567.20",,,
119461,96018727,690007,Recharge,$ 656.72,,,
119461,96018727,699999,Facilities & Admin C,$ 137.91,,,
119461,98012040,610000,Salaries & Wages,"$ 2,767.61",,,
119461,98012040,612000,Administrative Salar,$ 662.58,,,
119461,98012040,620000,Fringe Benefits,"$ 1,166.26",,,
119461,98012040,642500,Other Expenses,$ 24.75,,,
119533,90062172,610000,Salaries & Wages,$ 873.75,,,
119533,90062172,612000,Administrative Salar,$ 387.48,,,
119533,90062172,620000,Fringe Benefits,$ 428.81,,,
119533,90062172,642500,Other Expenses,$ 5.00,,,
119533,90062172,690007,Recharge,$ 169.51,,,
119533,90062172,699999,Facilities & Admin C,$ 391.55,,,
119533,90062173,610000,Salaries & Wages,$ (221.11),,,
119533,90062173,620000,Fringe Benefits,$ 200.67,,,
119533,90062173,640300,Contractual Services,"$ 1,222.72",,,
119533,90062173,641400,Telecommunications,$ 22.15,,,
119533,90062173,642500,Other Expenses,$ 88.61,,,
119533,90062173,652100,Travel Foreign,$ 152.68,,,
119533,90062173,690007,Recharge,$ 146.58,,,
119533,90062173,699999,Facilities & Admin C,$ 338.58,,,
119533,90062510,610000,Salaries & Wages,"$ 1,010.38",,,
119533,90062510,620000,Fringe Benefits,$ 200.67,,,
119533,90062510,640300,Contractual Services,$ 917.04,,,
119533,90062510,641400,Telecommunications,$ 16.61,,,
119533,90062510,642500,Other Expenses,$ 66.46,,,
119533,90062510,652100,Travel Foreign,$ 114.51,,,
119533,90062510,690007,Recharge,$ 232.58,,,
119533,90062510,699999,Facilities & Admin C,$ 537.23,,,
119533,90062511,610000,Salaries & Wages,$ 794.22,,,
119533,90062511,620000,Fringe Benefits,$ 200.67,,,
119533,90062511,640300,Contractual Services,$ 611.36,,,
119533,90062511,641400,Telecommunications,$ 11.07,,,
119533,90062511,642500,Other Expenses,$ 44.31,,,
119533,90062511,652100,Travel Foreign,$ 76.34,,,
119533,90062511,690007,Recharge,$ 173.80,,,
119533,90062511,699999,Facilities & Admin C,$ 401.47,,,
119533,90062512,610000,Salaries & Wages,$ 578.06,,,
119533,90062512,620000,Fringe Benefits,$ 200.67,,,
119533,90062512,640300,Contractual Services,$ 305.68,,,
119533,90062512,641400,Telecommunications,$ 5.54,,,
119533,90062512,642500,Other Expenses,$ 22.15,,,
119533,90062512,652100,Travel Foreign,$ 38.17,,,
119533,90062512,690007,Recharge,$ 115.03,,,
119533,90062512,699999,Facilities & Admin C,$ 265.71,,,
119881,90062891,610000,Salaries & Wages,$ 992.79,,,
119881,90062891,612000,Administrative Salar,"$ 1,161.78",,,
119881,90062891,620000,Fringe Benefits,$ 720.16,,,
119881,90062891,630000,Supplies & Materials,$ 387.50,,,
119881,90062891,637000,Repairs & Maintenanc,$ 17.85,,,
119881,90062891,642500,Other Expenses,$ 752.50,,,
119881,90062891,652000,Travel Domestic,$ 68.85,,,
119881,90062891,652100,Travel Foreign,$ 173.02,,,
119881,90062891,690007,Recharge,$ 427.44,,,
119881,90062891,699999,Facilities & Admin C,$ 69.58,,,
119881,90062892,610000,Salaries & Wages,$ 641.44,,,
119881,90062892,620000,Fringe Benefits,$ 150.25,,,
119881,90062892,630000,Supplies & Materials,$ 28.61,,,
119881,90062892,640102,Leased Facilities Ex,$ 33.27,,,
119881,90062892,640300,Contractual Services,$ 10.96,,,
119881,90062892,641400,Telecommunications,$ 54.93,,,
119881,90062892,642500,Other Expenses,$ 5.72,,,
119881,90062892,643000,Other Expenses Exclu,$ (8.91),,,
119881,90062892,690007,Recharge,$ 91.63,,,
119881,90062892,699999,Facilities & Admin C,$ 14.55,,,
119881,90062893,610000,Salaries & Wages,$ 512.64,,,
119881,90062893,620000,Fringe Benefits,$ 123.50,,,
119881,90062893,630000,Supplies & Materials,$ 45.57,,,
119881,90062893,640102,Leased Facilities Ex,$ 32.48,,,
119881,90062893,640300,Contractual Services,$ 11.21,,,
119881,90062893,641400,Telecommunications,$ 53.63,,,
119881,90062893,642500,Other Expenses,$ 5.59,,,
119881,90062893,643000,Other Expenses Exclu,$ (9.19),,,
119881,90062893,652000,Travel Domestic,"$ 2,425.78",,,
119881,90062893,652100,Travel Foreign,"$ 1,488.00",,,
119881,90062893,690007,Recharge,$ 468.92,,,
119881,90062893,699999,Facilities & Admin C,$ 76.00,,,
119881,90062894,610000,Salaries & Wages,$ 839.45,,,
119881,90062894,620000,Fringe Benefits,$ 190.00,,,
119881,90062894,630000,Supplies & Materials,$ 42.04,,,
119881,90062894,640102,Leased Facilities Ex,$ 28.38,,,
119881,90062894,640300,Contractual Services,$ 24.78,,,
119881,90062894,641400,Telecommunications,$ 46.86,,,
119881,90062894,642500,Other Expenses,$ 7.66,,,
119881,90062894,643000,Other Expenses Exclu,$ (7.55),,,
119881,90062894,652100,Travel Foreign,$ 0.18,,,
119881,90062894,690007,Recharge,$ 117.18,,,
119881,90062894,699999,Facilities & Admin C,$ 18.77,,,
119881,90062895,610000,Salaries & Wages,"$ 2,407.91",,,
119881,90062895,620000,Fringe Benefits,$ 452.50,,,
119881,90062895,630000,Supplies & Materials,$ 893.32,,,
119881,90062895,637000,Repairs & Maintenanc,$ 493.33,,,
119881,90062895,640102,Leased Facilities Ex,$ 97.69,,,
119881,90062895,640300,Contractual Services,"$ 1,282.21",,,
119881,90062895,641400,Telecommunications,$ 161.30,,,
119881,90062895,642500,Other Expenses,$ 203.89,,,
119881,90062895,643000,Other Expenses Exclu,$ (33.03),,,
119881,90062895,652000,Travel Domestic,$ 981.42,,,
119881,90062895,652100,Travel Foreign,$ 467.48,,,
119881,90062895,690007,Recharge,$ 740.81,,,
119881,90062895,699999,Facilities & Admin C,$ 119.65,,,
119881,90062896,610000,Salaries & Wages,$ 788.82,,,
119881,90062896,620000,Fringe Benefits,$ 184.50,,,
119881,90062896,630000,Supplies & Materials,$ 36.83,,,
119881,90062896,640102,Leased Facilities Ex,$ 42.83,,,
119881,90062896,640300,Contractual Services,$ 14.11,,,
119881,90062896,641400,Telecommunications,$ 70.72,,,
119881,90062896,642500,Other Expenses,$ 6.19,,,
119881,90062896,643000,Other Expenses Exclu,$ (11.10),,,
119881,90062896,690007,Recharge,$ 113.29,,,
119881,90062896,699999,Facilities & Admin C,$ 17.98,,,
119881,90062897,610000,Salaries & Wages,$ 178.46,,,
119881,90062897,620000,Fringe Benefits,$ 43.00,,,
119881,90062897,630000,Supplies & Materials,$ 14.89,,,
119881,90062897,640102,Leased Facilities Ex,$ 17.32,,,
119881,90062897,640300,Contractual Services,$ 10.11,,,
119881,90062897,641400,Telecommunications,$ 28.60,,,
119881,90062897,642500,Other Expenses,$ 4.17,,,
119881,90062897,643000,Other Expenses Exclu,$ (4.07),,,
119881,90062897,652100,Travel Foreign,$ 131.10,,,
119881,90062897,690007,Recharge,$ 42.36,,,
119881,90062897,699999,Facilities & Admin C,$ 6.70,,,
119881,90081038,610000,Salaries & Wages,"$ 1,304.61",,,
119881,90081038,620000,Fringe Benefits,$ 312.25,,,
119881,90081038,630000,Supplies & Materials,$ 82.89,,,
119881,90081038,640102,Leased Facilities Ex,$ 75.89,,,
119881,90081038,640300,Contractual Services,$ 25.00,,,
119881,90081038,641400,Telecommunications,$ 125.30,,,
119881,90081038,642500,Other Expenses,$ 14.37,,,
119881,90081038,643000,Other Expenses Exclu,$ (19.75),,,
119881,90081038,690007,Recharge,$ 192.06,,,
119881,90081038,699999,Facilities & Admin C,$ 30.44,,,
119908,90062837,610000,Salaries & Wages,"$ 6,280.96",,,
119908,90062837,612000,Administrative Salar,"$ 1,058.07",,,
119908,90062837,620000,Fringe Benefits,"$ 2,263.29",,,
119908,90062837,630000,Supplies & Materials,$ 14.10,,,
119908,90062837,642500,Other Expenses,"$ 6,250.50",,,
119908,90062837,652000,Travel Domestic,$ 1.75,,,
119908,90062837,652100,Travel Foreign,$ 16.19,,,
119908,90062837,690007,Recharge,"$ 1,588.49",,,
119908,90062837,699999,Facilities & Admin C,"$ 3,669.41",,,
119908,90062838,652100,Travel Foreign,$ 373.21,,,
119908,90062838,690007,Recharge,$ 37.32,,,
119908,90062838,699999,Facilities & Admin C,$ 86.21,,,
119908,90063006,630000,Supplies & Materials,$ (4.19),,,
119908,90063006,640300,Contractual Services,$ (4.49),,,
119908,90063006,642500,Other Expenses,$ (7.13),,,
119908,90063006,652000,Travel Domestic,$ (0.13),,,
119908,90063006,652100,Travel Foreign,$ (9.34),,,
119908,90063006,690007,Recharge,$ (2.53),,,
119908,90063006,699999,Facilities & Admin C,$ (5.84),,,
119908,90063008,630000,Supplies & Materials,$ (5.64),,,
119908,90063008,640300,Contractual Services,$ (2.76),,,
119908,90063008,642500,Other Expenses,$ (1.94),,,
119908,90063008,652000,Travel Domestic,$ (0.04),,,
119908,90063008,652100,Travel Foreign,$ (2.64),,,
119908,90063008,690007,Recharge,$ (1.30),,,
119908,90063008,699999,Facilities & Admin C,$ (3.00),,,
119908,90063009,630000,Supplies & Materials,$ (3.28),,,
119908,90063009,640300,Contractual Services,$ (2.42),,,
119908,90063009,642500,Other Expenses,$ (3.02),,,
119908,90063009,652000,Travel Domestic,$ (0.06),,,
119908,90063009,652100,Travel Foreign,$ (33.82),,,
119908,90063009,690007,Recharge,$ (4.26),,,
119908,90063009,699999,Facilities & Admin C,$ (9.84),,,
119908,90063010,610000,Salaries & Wages,$ 656.21,,,
119908,90063010,620000,Fringe Benefits,$ 342.02,,,
119908,90063010,630000,Supplies & Materials,$ (0.39),,,
119908,90063010,637000,Repairs & Maintenanc,$ 0.21,,,
119908,90063010,640102,Leased Facilities Ex,$ 15.36,,,
119908,90063010,640300,Contractual Services,$ (2.95),,,
119908,90063010,641400,Telecommunications,$ 1.72,,,
119908,90063010,642500,Other Expenses,$ (5.15),,,
119908,90063010,643000,Other Expenses Exclu,$ (26.25),,,
119908,90063010,652000,Travel Domestic,$ (0.13),,,
119908,90063010,652100,Travel Foreign,$ (8.43),,,
119908,90063010,690007,Recharge,$ 97.22,,,
119908,90063010,699999,Facilities & Admin C,$ 226.88,,,
119908,90063012,610000,Salaries & Wages,"$ 9,469.92",,,
119908,90063012,620000,Fringe Benefits,"$ 3,369.03",,,
119908,90063012,630000,Supplies & Materials,"$ 1,879.55",,,
119908,90063012,637000,Repairs & Maintenanc,$ 153.94,,,
119908,90063012,640102,Leased Facilities Ex,"$ 1,091.05",,,
119908,90063012,640300,Contractual Services,"$ 1,180.81",,,
119908,90063012,641400,Telecommunications,$ 79.83,,,
119908,90063012,642500,Other Expenses,$ 503.87,,,
119908,90063012,643000,Other Expenses Exclu,$ (704.26),,,
119908,90063012,652000,Travel Domestic,"$ 16,167.46",,,
119908,90063012,652100,Travel Foreign,"$ 3,113.84",,,
119908,90063012,690007,Recharge,"$ 3,630.51",,,
119908,90063012,699999,Facilities & Admin C,"$ 8,305.23",,,
119908,90063013,630000,Supplies & Materials,$ (13.24),,,
119908,90063013,640300,Contractual Services,$ (16.38),,,
119908,90063013,642500,Other Expenses,$ (27.54),,,
119908,90063013,652000,Travel Domestic,$ (0.50),,,
119908,90063013,652100,Travel Foreign,$ (36.03),,,
119908,90063013,690007,Recharge,$ (9.37),,,
119908,90063013,699999,Facilities & Admin C,$ (21.64),,,
119908,90063014,610000,Salaries & Wages,$ 286.97,,,
119908,90063014,612000,Administrative Salar,$ 108.44,,,
119908,90063014,620000,Fringe Benefits,$ 107.50,,,
119908,90063014,630000,Supplies & Materials,$ 558.13,,,
119908,90063014,640300,Contractual Services,"$ 2,087.71",,,
119908,90063014,642500,Other Expenses,$ 721.55,,,
119908,90063014,652100,Travel Foreign,$ 812.80,,,
119908,90063014,690007,Recharge,$ 468.32,,,
119908,90063014,699999,Facilities & Admin C,"$ 1,081.80",,,
119908,90063015,610000,Salaries & Wages,"$ 1,160.75",,,
119908,90063015,620000,Fringe Benefits,$ 604.99,,,
119908,90063015,630000,Supplies & Materials,$ (1.31),,,
119908,90063015,637000,Repairs & Maintenanc,$ 0.71,,,
119908,90063015,640102,Leased Facilities Ex,$ 51.88,,,
119908,90063015,640300,Contractual Services,$ (23.42),,,
119908,90063015,641400,Telecommunications,$ 5.82,,,
119908,90063015,642500,Other Expenses,$ (51.26),,,
119908,90063015,643000,Other Expenses Exclu,$ (88.70),,,
119908,90063015,652000,Travel Domestic,$ (0.99),,,
119908,90063015,652100,Travel Foreign,$ (69.04),,,
119908,90063015,690007,Recharge,$ 158.95,,,
119908,90063015,699999,Facilities & Admin C,$ 374.89,,,
119908,90078207,610000,Salaries & Wages,$ 288.92,,,
119908,90078207,620000,Fringe Benefits,$ 45.30,,,
119908,90078207,630000,Supplies & Materials,$ 1.63,,,
119908,90078207,637000,Repairs & Maintenanc,$ 0.24,,,
119908,90078207,640102,Leased Facilities Ex,$ 17.28,,,
119908,90078207,640300,Contractual Services,$ 268.17,,,
119908,90078207,641400,Telecommunications,$ 1.94,,,
119908,90078207,642500,Other Expenses,$ 1.03,,,
119908,90078207,643000,Other Expenses Exclu,$ (29.72),,,
119908,90078207,652000,Travel Domestic,$ 214.72,,,
119908,90078207,652100,Travel Foreign,$ 886.32,,,
119908,90078207,690007,Recharge,$ 169.58,,,
119908,90078207,699999,Facilities & Admin C,$ 394.35,,,
120010,90063137,610000,Salaries & Wages,$ 8.67,,,
120010,90063137,620000,Fringe Benefits,$ 2.00,,,
120010,90063137,690007,Recharge,$ 1.07,,,
120010,90063137,699999,Facilities & Admin C,$ 2.47,,,
120018,90073723,640300,Contractual Services,$ (165.17),,,
120018,90073723,641400,Telecommunications,$ (83.72),,,
120018,90073723,690007,Recharge,$ (24.89),,,
120018,90073723,699999,Facilities & Admin C,$ (57.49),,,
120121,90063331,610000,Salaries & Wages,"$ 2,090.49",,,
120121,90063331,612000,Administrative Salar,$ 525.06,,,
120121,90063331,620000,Fringe Benefits,$ 889.26,,,
120121,90063331,652100,Travel Foreign,$ 619.50,,,
120121,90063331,690007,Recharge,$ 412.44,,,
120121,90063331,699999,Facilities & Admin C,$ 952.72,,,
120121,90063332,610000,Salaries & Wages,$ 621.55,,,
120121,90063332,620000,Fringe Benefits,$ 158.01,,,
120121,90063332,630000,Supplies & Materials,$ 368.69,,,
120121,90063332,640300,Contractual Services,$ 173.65,,,
120121,90063332,643000,Other Expenses Exclu,$ (0.29),,,
120121,90063332,652000,Travel Domestic,$ 23.24,,,
120121,90063332,652100,Travel Foreign,$ 159.40,,,
120121,90063332,690007,Recharge,$ 150.43,,,
120121,90063332,699999,Facilities & Admin C,$ 347.54,,,
120121,90067138,610000,Salaries & Wages,"$ 2,439.95",,,
120121,90067138,620000,Fringe Benefits,$ 961.10,,,
120121,90067138,630000,Supplies & Materials,$ 101.87,,,
120121,90067138,637000,Repairs & Maintenanc,$ 0.28,,,
120121,90067138,640102,Leased Facilities Ex,$ 109.78,,,
120121,90067138,640300,Contractual Services,$ 38.84,,,
120121,90067138,641400,Telecommunications,$ 18.23,,,
120121,90067138,642500,Other Expenses,$ 215.18,,,
120121,90067138,643000,Other Expenses Exclu,$ 0.42,,,
120121,90067138,652000,Travel Domestic,"$ 2,892.62",,,
120121,90067138,652100,Travel Foreign,$ 153.76,,,
120121,90067138,690007,Recharge,$ 693.20,,,
120121,90067138,699999,Facilities & Admin C,"$ 1,578.15",,,
120121,90067139,610000,Salaries & Wages,$ (130.53),,,
120121,90067139,620000,Fringe Benefits,$ (44.37),,,
120121,90067139,690007,Recharge,$ (17.49),,,
120121,90067139,699999,Facilities & Admin C,$ (40.41),,,
120121,90067140,610000,Salaries & Wages,"$ 16,340.55",,,
120121,90067140,620000,Fringe Benefits,"$ 8,446.87",,,
120121,90067140,630000,Supplies & Materials,$ 969.33,,,
120121,90067140,637000,Repairs & Maintenanc,$ 419.51,,,
120121,90067140,640102,Leased Facilities Ex,"$ 1,482.18",,,
120121,90067140,640300,Contractual Services,"$ 18,473.86",,,
120121,90067140,641400,Telecommunications,$ 868.26,,,
120121,90067140,642500,Other Expenses,$ 278.56,,,
120121,90067140,643000,Other Expenses Exclu,$ (520.38),,,
120121,90067140,652000,Travel Domestic,"$ 2,862.07",,,
120121,90067140,652100,Travel Foreign,"$ 4,886.45",,,
120121,90067140,690007,Recharge,"$ 5,450.73",,,
120121,90067140,699999,Facilities & Admin C,"$ 12,389.20",,,
120121,90067141,610000,Salaries & Wages,"$ 1,184.21",,,
120121,90067141,612000,Administrative Salar,$ 426.26,,,
120121,90067141,620000,Fringe Benefits,$ 512.20,,,
120121,90067141,630000,Supplies & Materials,$ 335.00,,,
120121,90067141,642500,Other Expenses,$ 39.89,,,
120121,90067141,652100,Travel Foreign,$ 69.98,,,
120121,90067141,690007,Recharge,$ 256.76,,,
120121,90067141,699999,Facilities & Admin C,$ 593.11,,,
120121,90067142,610000,Salaries & Wages,"$ 17,171.43",,,
120121,90067142,620000,Fringe Benefits,"$ 4,500.85",,,
120121,90067142,630000,Supplies & Materials,$ 971.73,,,
120121,90067142,637000,Repairs & Maintenanc,$ 193.54,,,
120121,90067142,640102,Leased Facilities Ex,$ 820.12,,,
120121,90067142,640300,Contractual Services,$ 192.65,,,
120121,90067142,640500,Consultant,$ (313.59),,,
120121,90067142,641400,Telecommunications,$ 39.46,,,
120121,90067142,642500,Other Expenses,$ 71.17,,,
120121,90067142,643000,Other Expenses Exclu,$ 434.14,,,
120121,90067142,652100,Travel Foreign,"$ 1,705.88",,,
120121,90067142,690007,Recharge,"$ 2,578.73",,,
120121,90067142,699999,Facilities & Admin C,"$ 5,693.48",,,
120121,90067143,610000,Salaries & Wages,$ 475.36,,,
120121,90067143,612000,Administrative Salar,$ 596.08,,,
120121,90067143,620000,Fringe Benefits,$ 377.55,,,
120121,90067143,630000,Supplies & Materials,$ 26.30,,,
120121,90067143,640500,Consultant,$ (76.40),,,
120121,90067143,652100,Travel Foreign,"$ 1,048.41",,,
120121,90067143,690007,Recharge,$ 244.73,,,
120121,90067143,699999,Facilities & Admin C,$ 565.33,,,
120121,90077527,610000,Salaries & Wages,$ (839.63),,,
120121,90077527,620000,Fringe Benefits,$ (285.46),,,
120121,90077527,690007,Recharge,$ (112.51),,,
120121,90077527,699999,Facilities & Admin C,$ (259.90),,,
120121,90077528,610000,Salaries & Wages,$ 931.26,,,
120121,90077528,620000,Fringe Benefits,$ 366.83,,,
120121,90077528,641400,Telecommunications,$ 2.94,,,
120121,90077528,642500,Other Expenses,$ 0.16,,,
120121,90077528,690007,Recharge,$ 130.12,,,
120121,90077528,699999,Facilities & Admin C,$ 300.57,,,
120121,90077529,610000,Salaries & Wages,$ 359.85,,,
120121,90077529,620000,Fringe Benefits,$ 122.35,,,
120121,90077529,690007,Recharge,$ 48.22,,,
120121,90077529,699999,Facilities & Admin C,$ 111.38,,,
120121,90077530,610000,Salaries & Wages,$ (114.99),,,
120121,90077530,620000,Fringe Benefits,$ (74.51),,,
120121,90077530,630000,Supplies & Materials,$ 12.44,,,
120121,90077530,637000,Repairs & Maintenanc,$ 1.05,,,
120121,90077530,640102,Leased Facilities Ex,$ 76.58,,,
120121,90077530,640300,Contractual Services,$ 5.52,,,
120121,90077530,641400,Telecommunications,$ 8.59,,,
120121,90077530,642500,Other Expenses,$ 4.31,,,
120121,90077530,643000,Other Expenses Exclu,$ (12.69),,,
120121,90077530,652000,Travel Domestic,"$ 2,801.50",,,
120121,90077530,652100,Travel Foreign,$ 806.51,,,
120121,90077530,690007,Recharge,$ 351.43,,,
120121,90077530,699999,Facilities & Admin C,$ 798.39,,,
120121,90077531,610000,Salaries & Wages,"$ 1,025.00",,,
120121,90077531,612000,Administrative Salar,$ 538.49,,,
120121,90077531,620000,Fringe Benefits,$ 531.60,,,
120121,90077531,630000,Supplies & Materials,$ 93.75,,,
120121,90077531,652100,Travel Foreign,$ (36.40),,,
120121,90077531,690007,Recharge,$ 215.25,,,
120121,90077531,699999,Facilities & Admin C,$ 497.22,,,
120121,90077532,610000,Salaries & Wages,"$ 3,093.44",,,
120121,90077532,620000,Fringe Benefits,$ (138.70),,,
120121,90077532,630000,Supplies & Materials,$ 940.10,,,
120121,90077532,640102,Leased Facilities Ex,$ 135.83,,,
120121,90077532,640300,Contractual Services,$ 63.82,,,
120121,90077532,641400,Telecommunications,$ 67.39,,,
120121,90077532,642500,Other Expenses,$ 254.38,,,
120121,90077532,643000,Other Expenses Exclu,$ (675.56),,,
120121,90077532,652100,Travel Foreign,"$ 1,056.63",,,
120121,90077532,690007,Recharge,$ 479.74,,,
120121,90077532,699999,Facilities & Admin C,"$ 1,221.52",,,
120121,90079005,610000,Salaries & Wages,"$ 1,214.53",,,
120121,90079005,620000,Fringe Benefits,$ 478.41,,,
120121,90079005,630000,Supplies & Materials,$ 0.00,,,
120121,90079005,640300,Contractual Services,$ (0.02),,,
120121,90079005,641400,Telecommunications,$ 1.91,,,
120121,90079005,642500,Other Expenses,$ 0.07,,,
120121,90079005,652000,Travel Domestic,$ 578.30,,,
120121,90079005,652100,Travel Foreign,$ 270.39,,,
120121,90079005,690007,Recharge,$ 254.36,,,
120121,90079005,699999,Facilities & Admin C,$ 587.57,,,
120392,90063620,610000,Salaries & Wages,"$ 1,347.07",,,
120392,90063620,612000,Administrative Salar,$ (55.98),,,
120392,90063620,620000,Fringe Benefits,$ 329.32,,,
120392,90063620,630000,Supplies & Materials,$ 1.36,,,
120392,90063620,642500,Other Expenses,$ 0.22,,,
120392,90063620,652100,Travel Foreign,$ 492.95,,,
120392,90063620,690007,Recharge,$ 211.50,,,
120392,90063620,699999,Facilities & Admin C,$ 488.55,,,
120392,90063621,610000,Salaries & Wages,"$ 13,040.39",,,
120392,90063621,620000,Fringe Benefits,"$ 10,439.76",,,
120392,90063621,630000,Supplies & Materials,$ 154.55,,,
120392,90063621,640102,Leased Facilities Ex,"$ 2,720.49",,,
120392,90063621,640300,Contractual Services,$ 300.25,,,
120392,90063621,641400,Telecommunications,"$ 2,125.00",,,
120392,90063621,642500,Other Expenses,$ 493.64,,,
120392,90063621,643000,Other Expenses Exclu,$ (6.75),,,
120392,90063621,652100,Travel Foreign,$ 440.25,,,
120392,90063621,690007,Recharge,"$ 2,970.76",,,
120392,90063621,699999,Facilities & Admin C,"$ 6,292.56",,,
120392,90081619,640300,Contractual Services,$ 314.22,,,
120392,90081619,642500,Other Expenses,$ 50.28,,,
120392,90081619,690007,Recharge,$ 36.45,,,
120392,90081619,699999,Facilities & Admin C,$ 84.20,,,
120392,96020232,642400,Subaward,"$ 1,075.00",,,
120392,96020232,690007,Recharge,$ 107.50,,,
120392,96020232,699999,Facilities & Admin C,$ 248.33,,,
120820,90064368,610000,Salaries & Wages,$ 655.01,,,
