Grant,Sponsored Program,Sponsored Class number,sponsored class name,Total Revenue or Expense
119386,90061944,690007,Recharge,"$ 36,383.10"
119386,90061944,699999,Facilities & Admin C,"$ 88,211.52"
119386,90062485,690007,Recharge,$ (52.83)
119386,90062485,699999,Facilities & Admin C,$ (11.10)
119386,90076091,610000,Salaries & Wages,"$ 6,698.65"
119386,90076091,612000,Administrative Salar,$ 595.01
119386,90076091,620000,Fringe Benefits,"$ 2,329.82"
119386,90076091,630000,Supplies & Materials,$ 389.43
119386,90076091,640300,Contractual Services,$ 900.00
119386,90076091,643000,Other Expenses Exclu,$ 449.24
119386,90076091,652000,Travel Domestic,$ 19.96
119386,90076091,652100,Travel Foreign,"$ 1,014.91"
119386,90076091,690007,Recharge,"$ 1,159.31"
119386,90076091,699999,Facilities & Admin C,"$ 2,752.52"
119386,90076092,610000,Salaries & Wages,"$ 101,619.02"
119386,90076092,620000,Fringe Benefits,"$ 44,768.58"
119386,90076092,630000,Supplies & Materials,"$ 12,082.20"
119386,90076092,637000,Repairs & Maintenanc,$ 962.17
119386,90076092,640102,Leased Facilities Ex,"$ 12,430.49"
119386,90076092,640300,Contractual Services,"$ 27,761.53"
119386,90076092,641400,Telecommunications,"$ 3,187.76"
119386,90076092,642500,Other Expenses,"$ 3,892.03"
119386,90076092,643000,Other Expenses Exclu,$ 620.42
119386,90076092,652000,Travel Domestic,"$ 3,856.90"
119386,90076092,652100,Travel Foreign,"$ 14,637.13"
119386,90076092,690007,Recharge,"$ 21,312.23"
119386,90076092,699999,Facilities & Admin C,"$ 49,156.72"
119386,96013961,642400,Subaward,"$ 25,012.42"
119386,96013961,690007,Recharge,"$ 2,367.54"
119386,96013961,699999,Facilities & Admin C,$ 497.19
119386,96014180,642400,Subaward,"$ 5,196.52"
119386,96014180,690007,Recharge,$ 485.57
119386,96014180,699999,Facilities & Admin C,$ 101.97
119386,96019604,642400,Subaward,$ 668.47
119386,96019604,690007,Recharge,$ 27.64
119386,96019604,699999,Facilities & Admin C,$ 146.19
119386,96019605,642400,Subaward,$ 453.08
119386,96019605,690007,Recharge,$ 5.89
119386,96019605,699999,Facilities & Admin C,$ 96.39
119386,96019606,642400,Subaward,"$ 2,889.78"
119386,96019606,690007,Recharge,$ 264.69
119386,96019606,699999,Facilities & Admin C,$ 662.44
119386,96019607,642400,Subaward,$ 891.63
119386,96019607,690007,Recharge,$ 50.95
119386,96019607,699999,Facilities & Admin C,$ 197.94
119386,96019608,642400,Subaward,"$ 1,565.16"
119386,96019608,690007,Recharge,$ 116.82
119386,96019608,699999,Facilities & Admin C,$ 353.22
119386,96020034,642400,Subaward,"$ 1,663.71"
119386,96020034,690007,Recharge,$ 166.37
119386,96020034,699999,Facilities & Admin C,$ 384.32
119386,96020035,642400,Subaward,"$ 1,324.22"
119386,96020035,690007,Recharge,$ 132.42
119386,96020035,699999,Facilities & Admin C,$ 305.90
119386,96020036,642400,Subaward,"$ 2,117.37"
119386,96020036,690007,Recharge,$ 211.74
119386,96020036,699999,Facilities & Admin C,$ 489.11
119386,98011924,610000,Salaries & Wages,"$ 15,673.43"
119386,98011924,612000,Administrative Salar,"$ 3,408.42"
119386,98011924,620000,Fringe Benefits,"$ 6,299.95"
119386,98011924,630000,Supplies & Materials,"$ 11,627.11"
119386,98011924,637000,Repairs & Maintenanc,"$ 1,366.32"
119386,98011924,640102,Leased Facilities Ex,$ 974.66
119386,98011924,640300,Contractual Services,"$ 5,882.89"
119386,98011924,641400,Telecommunications,$ 376.99
119386,98011924,642500,Other Expenses,"$ 3,630.63"
119386,98011924,643000,Other Expenses Exclu,"$ 1,256.74"
119386,98011924,652000,Travel Domestic,"$ 1,126.35"
119386,98011924,652100,Travel Foreign,"$ 6,008.70"
119461,90062185,610000,Salaries & Wages,"$ 48,982.46"
119461,90062185,612000,Administrative Salar,"$ 11,426.74"
119461,90062185,620000,Fringe Benefits,"$ 19,573.33"
119461,90062185,630000,Supplies & Materials,"$ 6,111.24"
119461,90062185,640102,Leased Facilities Ex,$ 277.56
119461,90062185,640300,Contractual Services,"$ 3,742.51"
119461,90062185,641400,Telecommunications,"$ 4,042.35"
119461,90062185,642500,Other Expenses,"$ 8,065.16"
119461,90062185,643000,Other Expenses Exclu,$ 16.21
119461,90062185,652000,Travel Domestic,$ 729.49
119461,90062185,652100,Travel Foreign,"$ 21,454.08"
119461,90062185,690007,Recharge,"$ 10,866.28"
119461,90062185,699999,Facilities & Admin C,"$ 28,348.68"
119461,90062186,610000,Salaries & Wages,"$ 529,114.84"
119461,90062186,620000,Fringe Benefits,"$ 173,297.26"
119461,90062186,630000,Supplies & Materials,"$ 144,602.73"
119461,90062186,637000,Repairs & Maintenanc,"$ 23,684.75"
119461,90062186,640102,Leased Facilities Ex,"$ 58,956.03"
119461,90062186,640300,Contractual Services,"$ 171,074.25"
119461,90062186,641400,Telecommunications,"$ 26,371.27"
119461,90062186,642500,Other Expenses,"$ 146,196.36"
119461,90062186,643000,Other Expenses Exclu,"$ (13,431.39)"
119461,90062186,652000,Travel Domestic,"$ 488,894.68"
119461,90062186,652100,Travel Foreign,"$ 380,372.41"
119461,90062186,690007,Recharge,"$ 197,029.46"
119461,90062186,699999,Facilities & Admin C,"$ 478,933.99"
119461,90062217,610000,Salaries & Wages,"$ 25,874.29"
119461,90062217,620000,Fringe Benefits,"$ 8,473.52"
119461,90062217,630000,Supplies & Materials,"$ 4,437.28"
119461,90062217,637000,Repairs & Maintenanc,$ 372.75
119461,90062217,640102,Leased Facilities Ex,"$ 2,612.45"
119461,90062217,640300,Contractual Services,"$ 5,993.00"
119461,90062217,641400,Telecommunications,$ 624.44
119461,90062217,642500,Other Expenses,"$ 2,238.93"
119461,90062217,643000,Other Expenses Exclu,$ (57.27)
119461,90062217,652000,Travel Domestic,"$ 25,804.32"
119461,90062217,652100,Travel Foreign,"$ 11,322.45"
119461,90062217,690007,Recharge,"$ 8,101.98"
119461,90062217,699999,Facilities & Admin C,"$ 19,581.00"
119461,90062218,630000,Supplies & Materials,$ 17.14
119461,90062218,640300,Contractual Services,$ 32.92
119461,90062218,642500,Other Expenses,$ 0.05
119461,90062218,652100,Travel Foreign,$ 0.37
119461,90062218,690007,Recharge,$ (3.95)
119461,90062218,699999,Facilities & Admin C,$ 9.77
119461,90062219,610000,Salaries & Wages,"$ 13,062.14"
119461,90062219,620000,Fringe Benefits,"$ 4,285.51"
119461,90062219,630000,Supplies & Materials,"$ 1,451.87"
119461,90062219,637000,Repairs & Maintenanc,$ 267.58
119461,90062219,640102,Leased Facilities Ex,$ 230.02
119461,90062219,640300,Contractual Services,"$ 5,809.22"
119461,90062219,641400,Telecommunications,$ 272.47
119461,90062219,642500,Other Expenses,"$ 1,184.80"
119461,90062219,652000,Travel Domestic,"$ 22,616.09"
119461,90062219,652100,Travel Foreign,"$ 9,599.42"
119461,90062219,690007,Recharge,"$ 5,310.90"
119461,90062219,699999,Facilities & Admin C,"$ 13,410.62"
119461,90066273,610000,Salaries & Wages,"$ 11,730.71"
119461,90066273,620000,Fringe Benefits,"$ 3,839.39"
119461,90066273,630000,Supplies & Materials,"$ 5,858.20"
119461,90066273,637000,Repairs & Maintenanc,$ 16.56
119461,90066273,640102,Leased Facilities Ex,"$ 1,140.08"
119461,90066273,640300,Contractual Services,"$ 16,798.56"
119461,90066273,641400,Telecommunications,$ 144.07
119461,90066273,642500,Other Expenses,$ 807.80
119461,90066273,643000,Other Expenses Exclu,$ (26.82)
119461,90066273,652000,Travel Domestic,"$ 71,640.84"
119461,90066273,652100,Travel Foreign,"$ 8,371.35"
119461,90066273,690007,Recharge,"$ 11,301.41"
119461,90066273,699999,Facilities & Admin C,"$ 27,406.87"
119461,90071251,610000,Salaries & Wages,"$ 29,719.61"
119461,90071251,620000,Fringe Benefits,"$ 9,848.96"
119461,90071251,630000,Supplies & Materials,"$ 7,868.22"
119461,90071251,637000,Repairs & Maintenanc,$ 5.32
119461,90071251,640102,Leased Facilities Ex,$ 617.97
119461,90071251,640300,Contractual Services,"$ 15,524.04"
119461,90071251,641400,Telecommunications,$ 736.76
119461,90071251,642500,Other Expenses,"$ 1,136.80"
119461,90071251,652000,Travel Domestic,"$ 53,129.69"
119461,90071251,652100,Travel Foreign,"$ 15,831.52"
119461,90071251,690007,Recharge,"$ 12,181.17"
119461,90071251,699999,Facilities & Admin C,"$ 30,656.25"
119461,90077410,610000,Salaries & Wages,"$ 4,864.11"
119461,90077410,620000,Fringe Benefits,"$ 1,593.97"
119461,90077410,630000,Supplies & Materials,$ 316.38
119461,90077410,637000,Repairs & Maintenanc,$ 0.13
119461,90077410,640102,Leased Facilities Ex,$ 534.90
119461,90077410,640300,Contractual Services,"$ 1,590.86"
119461,90077410,641400,Telecommunications,$ 623.61
119461,90077410,642500,Other Expenses,$ 220.77
119461,90077410,652000,Travel Domestic,"$ 6,144.77"
119461,90077410,652100,Travel Foreign,"$ 3,144.46"
119461,90077410,690007,Recharge,"$ 1,164.15"
119461,90077410,699999,Facilities & Admin C,"$ 4,129.27"
119461,90077411,610000,Salaries & Wages,"$ 5,885.92"
119461,90077411,620000,Fringe Benefits,"$ 1,928.82"
119461,90077411,630000,Supplies & Materials,"$ 1,000.75"
119461,90077411,637000,Repairs & Maintenanc,$ 0.17
119461,90077411,640102,Leased Facilities Ex,$ 713.20
119461,90077411,640300,Contractual Services,"$ 3,700.47"
119461,90077411,641400,Telecommunications,$ 834.56
119461,90077411,642500,Other Expenses,$ 332.52
119461,90077411,652000,Travel Domestic,"$ 10,253.26"
119461,90077411,652100,Travel Foreign,"$ 4,993.54"
119461,90077411,690007,Recharge,"$ 2,683.63"
119461,90077411,699999,Facilities & Admin C,"$ 6,638.86"
119461,96014221,642400,Subaward,"$ 112,895.05"
119461,96014221,690007,Recharge,"$ 97,149.22"
119461,96014221,699999,Facilities & Admin C,"$ 20,401.33"
119461,96014222,642400,Subaward,"$ 394,830.34"
119461,96014222,690007,Recharge,"$ 25,000.00"
119461,96014222,699999,Facilities & Admin C,"$ 5,250.00"
119461,96014226,642400,Subaward,"$ 71,309.50"
119461,96014226,690007,Recharge,"$ 6,372.29"
119461,96014226,699999,Facilities & Admin C,"$ 1,338.18"
119461,96015184,642400,Subaward,"$ 12,446.56"
119461,96015184,690007,Recharge,"$ 1,151.16"
119461,96015184,699999,Facilities & Admin C,$ 241.74
119461,96015186,642400,Subaward,"$ 99,289.32"
119461,96015186,690007,Recharge,"$ 9,481.03"
119461,96015186,699999,Facilities & Admin C,"$ 1,991.02"
119461,96015187,642400,Subaward,"$ 13,707.04"
119461,96015187,690007,Recharge,"$ 1,131.70"
119461,96015187,699999,Facilities & Admin C,$ 237.66
119461,96015188,642400,Subaward,"$ (9,638.53)"
119461,96015188,690007,Recharge,$ (963.85)
119461,96015188,699999,Facilities & Admin C,$ (202.41)
119461,96015189,642400,Subaward,"$ 8,931.51"
119461,96015189,690007,Recharge,$ 767.25
119461,96015189,699999,Facilities & Admin C,$ 161.12
119461,96015190,642400,Subaward,"$ 30,792.32"
119461,96015190,690007,Recharge,"$ 2,927.63"
119461,96015190,699999,Facilities & Admin C,$ 614.80
119461,96015191,642400,Subaward,"$ 4,849.08"
119461,96015191,690007,Recharge,$ 484.91
119461,96015191,699999,Facilities & Admin C,$ 101.83
119461,96015192,642400,Subaward,"$ 39,061.49"
119461,96015192,690007,Recharge,"$ 3,545.70"
119461,96015192,699999,Facilities & Admin C,$ 744.60
119461,96015194,642400,Subaward,"$ 83,406.79"
119461,96015194,690007,Recharge,"$ 7,861.71"
119461,96015194,699999,Facilities & Admin C,"$ 1,650.96"
119461,96015197,642400,Subaward,"$ 14,873.65"
119461,96015197,690007,Recharge,"$ 1,346.49"
119461,96015197,699999,Facilities & Admin C,$ 282.76
119461,96015433,642400,Subaward,"$ 10,038.45"
119461,96015433,690007,Recharge,$ 863.63
119461,96015433,699999,Facilities & Admin C,$ 181.37
119461,96015435,642400,Subaward,"$ 42,178.15"
119461,96015435,690007,Recharge,"$ 3,857.99"
119461,96015435,699999,Facilities & Admin C,$ 810.18
119461,96015436,642400,Subaward,"$ 60,921.02"
119461,96015436,690007,Recharge,"$ 5,779.92"
119461,96015436,699999,Facilities & Admin C,"$ 1,213.78"
119461,96015437,642400,Subaward,"$ 23,020.46"
119461,96015437,690007,Recharge,"$ 2,020.02"
119461,96015437,699999,Facilities & Admin C,$ 424.20
119461,96015529,642400,Subaward,"$ 3,912.36"
119461,96015529,690007,Recharge,$ 298.23
119461,96015529,699999,Facilities & Admin C,$ 62.63
119461,96015530,642400,Subaward,"$ (3,867.94)"
119461,96015530,690007,Recharge,$ (540.80)
119461,96015530,699999,Facilities & Admin C,$ (113.57)
119461,96015532,642400,Subaward,"$ 12,908.14"
119461,96015532,690007,Recharge,"$ 1,164.28"
119461,96015532,699999,Facilities & Admin C,$ 244.50
119461,96015533,642400,Subaward,"$ 36,765.21"
119461,96015533,690007,Recharge,"$ 3,490.68"
119461,96015533,699999,Facilities & Admin C,$ 733.05
119461,96015640,642400,Subaward,"$ 25,100.13"
119461,96015640,690007,Recharge,"$ 2,316.94"
119461,96015640,699999,Facilities & Admin C,$ 486.56
119461,96018727,642400,Subaward,"$ 9,928.73"
119461,96018727,690007,Recharge,$ 883.84
119461,96018727,699999,Facilities & Admin C,$ 185.61
119461,98012040,610000,Salaries & Wages,"$ 8,859.74"
119461,98012040,612000,Administrative Salar,"$ 3,375.71"
119461,98012040,620000,Fringe Benefits,"$ 4,160.02"
119461,98012040,630000,Supplies & Materials,$ 15.83
119461,98012040,640300,Contractual Services,$ 20.63
119461,98012040,642500,Other Expenses,$ 59.95
119461,98012040,652100,Travel Foreign,$ (258.78)
119533,90062172,610000,Salaries & Wages,"$ 5,991.32"
119533,90062172,612000,Administrative Salar,"$ 1,929.94"
119533,90062172,620000,Fringe Benefits,"$ 2,693.23"
119533,90062172,630000,Supplies & Materials,$ 21.06
119533,90062172,642500,Other Expenses,$ 32.50
119533,90062172,652100,Travel Foreign,$ 429.72
119533,90062172,690007,Recharge,$ 990.93
119533,90062172,699999,Facilities & Admin C,"$ 2,538.63"
119533,90062173,610000,Salaries & Wages,"$ 13,248.05"
119533,90062173,620000,Fringe Benefits,"$ 1,423.65"
119533,90062173,630000,Supplies & Materials,$ 35.68
119533,90062173,640300,Contractual Services,"$ 2,378.04"
119533,90062173,641400,Telecommunications,$ 156.48
119533,90062173,642500,Other Expenses,$ 978.83
119533,90062173,652100,Travel Foreign,$ 210.65
119533,90062173,690007,Recharge,"$ 1,713.24"
119533,90062173,699999,Facilities & Admin C,"$ 4,230.36"
119533,90062510,610000,Salaries & Wages,"$ 9,936.03"
119533,90062510,620000,Fringe Benefits,"$ 1,423.65"
119533,90062510,640300,Contractual Services,"$ 1,783.53"
119533,90062510,641400,Telecommunications,$ 117.36
119533,90062510,642500,Other Expenses,$ 701.96
119533,90062510,652100,Travel Foreign,$ 157.99
119533,90062510,690007,Recharge,"$ 1,316.37"
119533,90062510,699999,Facilities & Admin C,"$ 3,241.76"
119533,90062511,610000,Salaries & Wages,"$ 6,624.01"
119533,90062511,620000,Fringe Benefits,"$ 1,423.65"
119533,90062511,640300,Contractual Services,"$ 1,189.02"
119533,90062511,641400,Telecommunications,$ 78.23
119533,90062511,642500,Other Expenses,$ 464.68
119533,90062511,652100,Travel Foreign,$ 105.33
119533,90062511,690007,Recharge,$ 922.07
119533,90062511,699999,Facilities & Admin C,"$ 2,269.47"
119533,90062512,610000,Salaries & Wages,"$ 3,312.00"
119533,90062512,620000,Fringe Benefits,"$ 1,423.66"
119533,90062512,640300,Contractual Services,$ 594.51
119533,90062512,641400,Telecommunications,$ 39.12
119533,90062512,642500,Other Expenses,$ 227.38
119533,90062512,652100,Travel Foreign,$ 52.66
119533,90062512,690007,Recharge,$ 524.05
119533,90062512,699999,Facilities & Admin C,"$ 1,296.41"
119881,90062891,610000,Salaries & Wages,"$ 6,835.03"
119881,90062891,612000,Administrative Salar,"$ 4,518.44"
119881,90062891,620000,Fringe Benefits,"$ 3,668.16"
119881,90062891,630000,Supplies & Materials,"$ 4,713.63"
119881,90062891,637000,Repairs & Maintenanc,$ 290.24
119881,90062891,640300,Contractual Services,$ 56.03
119881,90062891,640500,Consultant,$ 57.50
119881,90062891,642500,Other Expenses,"$ 1,346.35"
119881,90062891,652000,Travel Domestic,$ 165.60
119881,90062891,652100,Travel Foreign,"$ 4,216.99"
119881,90062891,690007,Recharge,"$ 2,415.33"
119881,90062891,699999,Facilities & Admin C,$ 418.56
119881,90062892,610000,Salaries & Wages,"$ 3,791.93"
119881,90062892,620000,Fringe Benefits,$ 899.80
119881,90062892,630000,Supplies & Materials,$ 144.92
119881,90062892,637000,Repairs & Maintenanc,$ 9.68
119881,90062892,640102,Leased Facilities Ex,$ 177.85
119881,90062892,640300,Contractual Services,$ 119.57
119881,90062892,641400,Telecommunications,$ 548.25
119881,90062892,642500,Other Expenses,$ 34.84
119881,90062892,643000,Other Expenses Exclu,$ (16.67)
119881,90062892,690007,Recharge,$ 507.42
119881,90062892,699999,Facilities & Admin C,$ 89.63
119881,90062893,610000,Salaries & Wages,"$ 3,328.04"
119881,90062893,620000,Fringe Benefits,$ 798.25
119881,90062893,630000,Supplies & Materials,$ 148.17
119881,90062893,637000,Repairs & Maintenanc,$ 10.06
119881,90062893,640102,Leased Facilities Ex,$ 177.79
119881,90062893,640300,Contractual Services,$ 964.34
119881,90062893,641400,Telecommunications,$ 573.75
119881,90062893,642500,Other Expenses,$ 186.84
119881,90062893,643000,Other Expenses Exclu,$ (20.39)
119881,90062893,652000,Travel Domestic,"$ 3,445.06"
119881,90062893,652100,Travel Foreign,"$ 2,368.01"
119881,90062893,690007,Recharge,"$ 1,141.63"
119881,90062893,699999,Facilities & Admin C,$ 191.87
119881,90062894,610000,Salaries & Wages,"$ 4,407.58"
119881,90062894,620000,Fringe Benefits,"$ 1,035.14"
119881,90062894,630000,Supplies & Materials,$ 172.42
119881,90062894,637000,Repairs & Maintenanc,$ 261.84
119881,90062894,640102,Leased Facilities Ex,$ 156.78
119881,90062894,640300,Contractual Services,$ 391.43
119881,90062894,641400,Telecommunications,$ 597.43
119881,90062894,642500,Other Expenses,$ 172.94
119881,90062894,643000,Other Expenses Exclu,$ (91.00)
119881,90062894,652000,Travel Domestic,"$ 2,681.14"
119881,90062894,652100,Travel Foreign,"$ 2,461.08"
119881,90062894,690007,Recharge,"$ 1,118.22"
119881,90062894,699999,Facilities & Admin C,$ 196.84
119881,90062895,610000,Salaries & Wages,"$ 12,242.10"
119881,90062895,620000,Fringe Benefits,"$ 2,903.50"
119881,90062895,630000,Supplies & Materials,"$ 10,511.09"
119881,90062895,637000,Repairs & Maintenanc,"$ 2,125.05"
119881,90062895,640102,Leased Facilities Ex,$ 541.42
119881,90062895,640300,Contractual Services,"$ 3,193.55"
119881,90062895,641400,Telecommunications,"$ 2,581.43"
119881,90062895,642500,Other Expenses,"$ 2,076.98"
119881,90062895,643000,Other Expenses Exclu,$ (5.33)
119881,90062895,652000,Travel Domestic,"$ 20,390.36"
119881,90062895,652100,Travel Foreign,"$ 7,035.18"
119881,90062895,690007,Recharge,"$ 5,930.62"
119881,90062895,699999,Facilities & Admin C,"$ 1,021.06"
119881,90062896,610000,Salaries & Wages,"$ 5,725.84"
119881,90062896,620000,Fringe Benefits,"$ 1,352.55"
119881,90062896,630000,Supplies & Materials,$ 301.10
119881,90062896,637000,Repairs & Maintenanc,$ 13.07
119881,90062896,640102,Leased Facilities Ex,$ 244.43
119881,90062896,640300,Contractual Services,$ 231.79
119881,90062896,641400,Telecommunications,$ 952.48
119881,90062896,642500,Other Expenses,$ 209.29
119881,90062896,643000,Other Expenses Exclu,$ (7.85)
119881,90062896,652100,Travel Foreign,$ 910.53
119881,90062896,690007,Recharge,$ 913.00
119881,90062896,699999,Facilities & Admin C,$ 157.02
119881,90062897,610000,Salaries & Wages,"$ 1,007.40"
119881,90062897,620000,Fringe Benefits,$ 241.75
119881,90062897,630000,Supplies & Materials,"$ 1,031.86"
119881,90062897,637000,Repairs & Maintenanc,$ 2.79
119881,90062897,640102,Leased Facilities Ex,$ 75.41
119881,90062897,640300,Contractual Services,$ 145.39
119881,90062897,641400,Telecommunications,$ 235.48
119881,90062897,642500,Other Expenses,$ 191.90
119881,90062897,643000,Other Expenses Exclu,$ (16.30)
119881,90062897,652100,Travel Foreign,$ 496.27
119881,90062897,690007,Recharge,$ 306.93
119881,90062897,699999,Facilities & Admin C,$ 54.17
119881,90081038,610000,Salaries & Wages,"$ 7,171.87"
119881,90081038,620000,Fringe Benefits,"$ 1,716.25"
119881,90081038,630000,Supplies & Materials,$ 107.28
119881,90081038,640102,Leased Facilities Ex,$ 344.34
119881,90081038,640300,Contractual Services,$ 25.87
119881,90081038,641400,Telecommunications,$ 300.04
119881,90081038,642500,Other Expenses,$ 25.61
119881,90081038,643000,Other Expenses Exclu,$ 5.79
119881,90081038,652000,Travel Domestic,$ 306.57
119881,90081038,652100,Travel Foreign,$ 232.47
119881,90081038,690007,Recharge,"$ 1,023.62"
119881,90081038,699999,Facilities & Admin C,$ 161.46
119908,90062837,610000,Salaries & Wages,"$ 18,735.91"
119908,90062837,612000,Administrative Salar,"$ 6,480.26"
119908,90062837,620000,Fringe Benefits,"$ 7,274.20"
119908,90062837,630000,Supplies & Materials,$ 99.85
119908,90062837,640300,Contractual Services,$ 569.73
119908,90062837,642500,Other Expenses,"$ 7,105.50"
119908,90062837,652000,Travel Domestic,$ 13.31
119908,90062837,652100,Travel Foreign,"$ 1,471.65"
119908,90062837,690007,Recharge,"$ 4,056.21"
119908,90062837,699999,Facilities & Admin C,"$ 9,619.43"
119908,90062838,610000,Salaries & Wages,"$ (4,635.17)"
119908,90062838,620000,Fringe Benefits,"$ (2,003.78)"
119908,90062838,630000,Supplies & Materials,$ (0.00)
119908,90062838,640300,Contractual Services,$ 37.10
119908,90062838,643000,Other Expenses Exclu,$ 2.41
119908,90062838,652000,Travel Domestic,"$ 1,214.02"
119908,90062838,652100,Travel Foreign,$ 429.97
119908,90062838,690007,Recharge,$ (671.30)
119908,90062838,699999,Facilities & Admin C,"$ (1,182.12)"
119908,90063006,610000,Salaries & Wages,$ 980.17
119908,90063006,620000,Fringe Benefits,$ 573.79
119908,90063006,630000,Supplies & Materials,$ 57.80
119908,90063006,637000,Repairs & Maintenanc,$ 4.46
119908,90063006,640102,Leased Facilities Ex,$ 47.18
119908,90063006,640300,Contractual Services,$ 83.36
119908,90063006,641400,Telecommunications,$ 116.10
119908,90063006,642500,Other Expenses,$ 47.07
119908,90063006,643000,Other Expenses Exclu,$ (321.33)
119908,90063006,652000,Travel Domestic,$ 30.01
119908,90063006,652100,Travel Foreign,$ 65.98
119908,90063006,690007,Recharge,$ 119.39
119908,90063006,699999,Facilities & Admin C,$ 436.43
119908,90063007,610000,Salaries & Wages,$ (192.27)
119908,90063007,620000,Fringe Benefits,$ (83.12)
119908,90063007,640300,Contractual Services,$ 13.83
119908,90063007,690007,Recharge,$ (27.53)
119908,90063007,699999,Facilities & Admin C,$ (60.71)
119908,90063008,610000,Salaries & Wages,"$ 1,236.89"
119908,90063008,620000,Fringe Benefits,$ 736.42
119908,90063008,630000,Supplies & Materials,$ 80.47
119908,90063008,637000,Repairs & Maintenanc,$ 8.06
119908,90063008,640102,Leased Facilities Ex,$ 84.82
119908,90063008,640300,Contractual Services,$ 123.29
119908,90063008,641400,Telecommunications,$ 177.71
119908,90063008,642500,Other Expenses,$ 52.42
119908,90063008,643000,Other Expenses Exclu,$ (405.14)
119908,90063008,652000,Travel Domestic,$ 8.55
119908,90063008,652100,Travel Foreign,$ 59.61
119908,90063008,690007,Recharge,$ 165.77
119908,90063008,699999,Facilities & Admin C,$ 556.34
119908,90063009,610000,Salaries & Wages,$ 622.58
119908,90063009,620000,Fringe Benefits,$ 399.31
119908,90063009,630000,Supplies & Materials,$ 40.63
119908,90063009,637000,Repairs & Maintenanc,$ 3.67
119908,90063009,640102,Leased Facilities Ex,$ 44.38
119908,90063009,640300,Contractual Services,$ 71.41
119908,90063009,641400,Telecommunications,$ 89.87
119908,90063009,642500,Other Expenses,$ 32.66
119908,90063009,643000,Other Expenses Exclu,$ (238.65)
119908,90063009,652000,Travel Domestic,$ 12.84
119908,90063009,652100,Travel Foreign,$ 69.74
119908,90063009,690007,Recharge,$ 78.65
119908,90063009,699999,Facilities & Admin C,$ 298.49
119908,90063010,610000,Salaries & Wages,"$ 1,532.03"
119908,90063010,620000,Fringe Benefits,$ 838.02
119908,90063010,630000,Supplies & Materials,$ 52.54
119908,90063010,637000,Repairs & Maintenanc,$ 3.82
119908,90063010,640102,Leased Facilities Ex,$ 51.22
119908,90063010,640300,Contractual Services,$ 88.24
119908,90063010,641400,Telecommunications,$ 84.25
119908,90063010,642500,Other Expenses,$ 47.33
119908,90063010,643000,Other Expenses Exclu,$ (252.70)
119908,90063010,652000,Travel Domestic,$ 29.94
119908,90063010,652100,Travel Foreign,$ 47.61
119908,90063010,690007,Recharge,$ 218.79
119908,90063010,699999,Facilities & Admin C,$ 617.94
119908,90063011,610000,Salaries & Wages,$ (362.06)
119908,90063011,620000,Fringe Benefits,$ (151.00)
119908,90063011,640300,Contractual Services,$ 15.94
119908,90063011,652100,Travel Foreign,$ 0.09
119908,90063011,690007,Recharge,$ (52.19)
119908,90063011,699999,Facilities & Admin C,$ (115.34)
119908,90063012,610000,Salaries & Wages,"$ 56,459.09"
119908,90063012,620000,Fringe Benefits,"$ 28,551.81"
119908,90063012,630000,Supplies & Materials,"$ 32,770.79"
119908,90063012,637000,Repairs & Maintenanc,"$ 2,194.76"
119908,90063012,640102,Leased Facilities Ex,"$ 10,578.94"
119908,90063012,640300,Contractual Services,"$ 6,703.41"
119908,90063012,641400,Telecommunications,"$ 2,729.33"
119908,90063012,642500,Other Expenses,"$ 4,322.89"
119908,90063012,643000,Other Expenses Exclu,"$ (5,406.93)"
119908,90063012,652000,Travel Domestic,"$ 40,532.15"
119908,90063012,652100,Travel Foreign,"$ 22,491.21"
119908,90063012,690007,Recharge,"$ 18,611.31"
119908,90063012,699999,Facilities & Admin C,"$ 45,227.01"
119908,90063013,610000,Salaries & Wages,"$ 2,275.82"
119908,90063013,620000,Fringe Benefits,"$ 1,363.36"
119908,90063013,630000,Supplies & Materials,$ 154.72
119908,90063013,637000,Repairs & Maintenanc,$ 8.46
119908,90063013,640102,Leased Facilities Ex,$ 145.55
119908,90063013,640300,Contractual Services,$ 209.34
119908,90063013,641400,Telecommunications,$ 246.27
119908,90063013,642500,Other Expenses,$ 144.42
119908,90063013,643000,Other Expenses Exclu,$ (607.26)
119908,90063013,652000,Travel Domestic,$ 115.52
119908,90063013,652100,Travel Foreign,$ (22.18)
119908,90063013,690007,Recharge,$ 267.47
119908,90063013,699999,Facilities & Admin C,"$ 1,000.28"
119908,90063014,610000,Salaries & Wages,"$ 3,358.08"
119908,90063014,612000,Administrative Salar,$ 372.40
119908,90063014,620000,Fringe Benefits,$ 904.84
119908,90063014,630000,Supplies & Materials,$ 591.88
119908,90063014,640300,Contractual Services,"$ 10,572.63"
119908,90063014,642500,Other Expenses,$ 828.43
119908,90063014,652000,Travel Domestic,$ 7.71
119908,90063014,652100,Travel Foreign,$ 812.80
119908,90063014,690007,Recharge,"$ 1,491.86"
119908,90063014,699999,Facilities & Admin C,"$ 3,977.51"
119908,90063015,610000,Salaries & Wages,"$ 3,979.47"
119908,90063015,620000,Fringe Benefits,"$ 2,257.59"
119908,90063015,630000,Supplies & Materials,$ 217.37
119908,90063015,637000,Repairs & Maintenanc,$ 9.85
119908,90063015,640102,Leased Facilities Ex,$ 162.02
119908,90063015,640300,Contractual Services,$ 392.86
